event,charge_mode,duration_minutes,km_driven,charge
0,0,41.000000881704835,16.015625809411258,-2.2999985993716336
0,0,6.999999753081705,2.156250109854834,-0.4000005086288638
0,0,614.9999848854266,16.859374714524204,-4.300000761168036
0,0,1.0000000279852121,0.7656250259274182,-7.626958620221558e-08
0,0,13.000000452370715,5.171875073846771,-1.2000013733474333
0,0,11.000000219274378,9.312499781258074,-1.899998167012356
0,0,4.000000111940849,1.15624994937097,-7.626958620221558e-08
0,0,27.99999901232682,21.781249945661294,-5.900002490605161
0,0,35.999999944712165,22.828124456217765,-3.9000003288087584
0,0,41.000000881704835,16.015625809411258,-2.2999985993716336
0,0,6.999999753081705,2.156250109854834,-0.4000005086288638
0,0,614.9999848854266,16.859374714524204,-4.300000761168036
0,0,53.00000086327555,84.29687537752417,-29.79999794134958
0,0,13.000000452370715,5.171875073846771,-1.2000013733474333
0,0,11.000000219274378,9.312499781258074,-1.899998167012356
0,0,4.000000111940849,1.15624994937097,-7.626958620221558e-08
0,0,27.99999901232682,21.781249945661294,-5.900002490605161
0,0,35.999999944712165,22.828124456217765,-3.9000003288087584
0,0,41.000000881704835,16.015625809411258,-2.2999985993716336
0,0,6.999999753081705,2.156250109854834,-0.4000005086288638
0,0,614.9999848854266,16.859374714524204,-4.300000761168036
0,0,53.00000086327555,84.29687537752417,-29.79999794134958
0,0,16.99999950155609,12.03124976282259,-3.4999998964494807
0,0,11.000000219274378,9.312499781258074,-1.899998167012356
0,0,4.000000111940849,1.15624994937097,-7.626958620221558e-08
0,0,27.99999901232682,21.781249945661294,-5.900002490605161
0,0,35.999999944712165,22.828124456217765,-3.9000003288087584
0,0,41.000000881704835,16.015625809411258,-2.2999985993716336
0,0,6.999999753081705,2.156250109854834,-0.4000005086288638
0,0,614.9999848854266,16.859374714524204,-4.300000761168036
0,0,53.00000086327555,84.29687537752417,-29.79999794134958
0,0,16.99999950155609,12.03124976282259,-3.4999998964494807
0,0,130.00000168969254,0.07812500019959677,0.3000015689878097
0,0,4.000000111940849,1.15624994937097,-7.626958620221558e-08
0,0,27.99999901232682,21.781249945661294,-5.900002490605161
0,0,35.999999944712165,22.828124456217765,-3.9000003288087584
0,0,41.000000881704835,16.015625809411258,-2.2999985993716336
0,0,6.999999753081705,2.156250109854834,-0.4000005086288638
0,0,614.9999848854266,16.859374714524204,-4.300000761168036
0,0,53.00000086327555,84.29687537752417,-29.79999794134958
0,0,16.99999950155609,12.03124976282259,-3.4999998964494807
0,0,130.00000168969254,0.07812500019959677,0.3000015689878097
0,0,6.999999753081705,2.7500000747096744,-0.3000017215269821
0,0,27.99999901232682,21.781249945661294,-5.900002490605161
0,0,35.999999944712165,22.828124456217765,-3.9000003288087584
0,0,41.000000881704835,16.015625809411258,-2.2999985993716336
0,0,6.999999753081705,2.156250109854834,-0.4000005086288638
0,0,614.9999848854266,16.859374714524204,-4.300000761168036
0,0,53.00000086327555,84.29687537752417,-29.79999794134958
0,0,16.99999950155609,12.03124976282259,-3.4999998964494807
0,0,130.00000168969254,0.07812500019959677,0.3000015689878097
0,0,6.999999753081705,2.7500000747096744,-0.3000017215269821
1,240,552.9999982060459,0.0,60.000001370201446
0,0,35.999999944712165,22.828124456217765,-3.9000003288087584
0,0,41.000000881704835,16.015625809411258,-2.2999985993716336
0,0,6.999999753081705,2.156250109854834,-0.4000005086288638
0,0,614.9999848854266,16.859374714524204,-4.300000761168036
0,0,53.00000086327555,84.29687537752417,-29.79999794134958
0,0,16.99999950155609,12.03124976282259,-3.4999998964494807
0,0,130.00000168969254,0.07812500019959677,0.3000015689878097
0,0,6.999999753081705,2.7500000747096744,-0.3000017215269821
1,240,552.9999982060459,0.0,60.000001370201446
0,0,48.99999898007558,78.859373609492,-21.600002287863717
0,0,41.000000881704835,16.015625809411258,-2.2999985993716336
0,0,6.999999753081705,2.156250109854834,-0.4000005086288638
0,0,614.9999848854266,16.859374714524204,-4.300000761168036
0,0,53.00000086327555,84.29687537752417,-29.79999794134958
0,0,16.99999950155609,12.03124976282259,-3.4999998964494807
0,0,130.00000168969254,0.07812500019959677,0.3000015689878097
0,0,6.999999753081705,2.7500000747096744,-0.3000017215269821
1,240,552.9999982060459,0.0,60.000001370201446
0,0,48.99999898007558,78.859373609492,-21.600002287863717
0,0,2.9999999953926806,1.0468749617822597,-7.626958620221558e-08
0,0,6.999999753081705,2.156250109854834,-0.4000005086288638
0,0,614.9999848854266,16.859374714524204,-4.300000761168036
0,0,53.00000086327555,84.29687537752417,-29.79999794134958
0,0,16.99999950155609,12.03124976282259,-3.4999998964494807
0,0,130.00000168969254,0.07812500019959677,0.3000015689878097
0,0,6.999999753081705,2.7500000747096744,-0.3000017215269821
1,240,552.9999982060459,0.0,60.000001370201446
0,0,48.99999898007558,78.859373609492,-21.600002287863717
0,0,2.9999999953926806,1.0468749617822597,-7.626958620221558e-08
0,0,140.0000035636779,79.68749927293551,-20.80000142314516
0,0,614.9999848854266,16.859374714524204,-4.300000761168036
